dir,ts,chain,block,addr,devbat,msgid,brake,disc_bits,valve,confirm,db_1,motion,l_batt,light,hex
"r2f","2022-04-10T10:10:00.424","ONLY","BASIC","18151","OK","ONEWAY","GO","90","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","19 e2 d2 c8 30 23 73 8f"
"r2f","2022-04-10T10:10:00.430","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","0b 1a 22 80 59 5e a3 0f"
"r2f","2022-04-10T10:10:00.431","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","8b 1a 22 80 59 5e a3 0f"
"r2f","2022-04-10T10:10:00.436","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","c4 eb 82 80 57 5e a3 0f"
"r2f","2022-04-10T10:10:00.437","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","c4 eb 82 80 57 5e a3 0f"
"r2f","2022-04-10T10:10:00.448","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","c4 eb 82 80 57 5e a3 0f"
"r2f","2022-04-10T10:10:00.449","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","ed fa 42 80 55 5e a3 0f"
"r2f","2022-04-10T10:10:00.450","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","ed fa 42 80 55 5e a3 0f"
"r2f","2022-04-10T10:10:00.451","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","ed fa 42 80 55 5e a3 0f"
"r2f","2022-04-10T10:10:00.455","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","c4 eb 82 80 57 5e a3 0f"
"r2f","2022-04-10T10:10:00.456","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","44 eb 82 80 57 5e a3 0f"
"r2f","2022-04-10T10:10:00.459","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","0b 1a 22 80 59 5e a3 0f"
"r2f","2022-04-10T10:10:00.460","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","8b 1a 22 80 59 5e a3 0f"
"r2f","2022-04-10T10:10:00.460","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","c4 eb 82 80 57 5e a3 0f"
"r2f","2022-04-10T10:10:00.461","ONLY","BASIC","18151","OK","ONEWAY","GO","92","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","b8 6c d2 c9 30 23 73 8f"
"r2f","2022-04-10T10:10:00.462","ONLY","BASIC","18151","OK","ONEWAY","GO","92","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","b8 6c d2 c9 30 23 73 8f"
"r2f","2022-04-10T10:10:00.467","ONLY","BASIC","18151","OK","ONEWAY","GO","92","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","b8 6c d2 c9 30 23 73 8f"
"r2f","2022-04-10T10:10:00.478","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","16 c8 02 80 56 5e a3 0f"
"r2f","2022-04-10T10:10:00.479","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","96 c8 02 80 56 5e a3 0f"
"r2f","2022-04-10T10:10:00.484","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","d9 39 a2 80 58 5e a3 0f"
"r2f","2022-04-10T10:10:00.485","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","59 39 a2 80 58 5e a3 0f"
"r2f","2022-04-10T10:10:00.490","ONLY","BASIC","18151","OK","ONEWAY","GO","94","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","89 25 d2 ca 30 23 73 8f"
"r2f","2022-04-10T10:10:00.490","ONLY","BASIC","18151","OK","ONEWAY","GO","94","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","89 25 d2 ca 30 23 73 8f"
"r2f","2022-04-10T10:10:00.495","ONLY","BASIC","4828","OK","ONEWAY","NO-GO","2c","OPERATIONAL","UPDATE","0","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","af 5c a0 96 00 09 6e 0f"
"r2f","2022-04-10T10:10:00.496","ONLY","BASIC","4828","OK","ONEWAY","NO-GO","2c","OPERATIONAL","UPDATE","0","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","af 5c a0 96 00 09 6e 0f"
"r2f","2022-04-10T10:10:00.499","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","16 c8 02 80 56 5e a3 0f"
"r2f","2022-04-10T10:10:00.499","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","96 c8 02 80 56 5e a3 0f"
"r2f","2022-04-10T10:10:00.502","ONLY","BASIC","18151","OK","ONEWAY","GO","94","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","ON","89 25 d2 ca 30 23 73 8f"
"r2f","2022-04-10T10:10:00.511","ONLY","BASIC","48454","OK","ONEWAY","GO","00","OPERATIONAL","UPDATE","1","STOPPED/NOT_MONITORED","OK/NOT_MONITORED","OFF/NOT_MONITORED","96 c8 02 80 56 5e a3 0f"
